Title,Link,Organization,Main Research Field,Application Deadline (ISO),Application Deadline (Display)
Enhancing Drowsiness Monitoring Systems: The Role of KSS in Accurate Fatigue Detection,https://exjobb.liu.se/en-US/details/?id=12b89d6c-d986-ef11-a81c-002248a41503,VTI and LiU,Medicinsk teknik,2025-02-01,2/1/2025
Återvinningsbolagens roll i att öka cirkulationen av uttjänta material,https://exjobb.liu.se/en-US/details/?id=736c3854-4482-ef11-a81c-000d3ab2d51f,Industriell miljöteknik/IEI,Energi- och miljöteknik,2025-01-31,1/31/2025
Biogas i ett mer elektrifierat och vätgasbaserat samhälle,https://exjobb.liu.se/en-US/details/?id=108b68b8-4882-ef11-a81c-000d3ab2d51f,Industriell miljöteknik/IEI,Energi- och miljöteknik,2025-01-31,1/31/2025
Innovation Management of Sustainable Development,https://exjobb.liu.se/en-US/details/?id=fb5d174b-6e6f-ef11-a81c-000d3ad95117,Environmental Technology and Management,Energi- och miljöteknik,2025-01-31,1/31/2025
Exploring Swedish Actors’ Roles in Global Dissemination of Biogas Systems,https://exjobb.liu.se/en-US/details/?id=4f660e14-f47b-ef11-a81c-000d3ad95117,IEI - Linköping University,Energi- och miljöteknik,2025-01-31,1/31/2025
Hur kan kommunala bolag bidra i kommuners strategiska hållbarhetsarbete,https://exjobb.liu.se/en-US/details/?id=04d87af7-f47b-ef11-a81c-000d3ad95117,IEI - Linköpings universitet,Energi- och miljöteknik,2025-01-31,1/31/2025
Hur kan nya företagsetableringar bidra till ökad resurseffektivitet?,https://exjobb.liu.se/en-US/details/?id=4f0efae3-4982-ef11-a81c-000d3ab2d51f,Industriell miljöteknik/IEI,Energi- och miljöteknik,2025-01-15,1/15/2025
Vad händer i världens mest resurseffektiva region?,https://exjobb.liu.se/en-US/details/?id=4c34762d-4c82-ef11-a81c-000d3ab2d51f,Industriell miljöteknik/IEI,Energi- och miljöteknik,2025-01-15,1/15/2025
Öppnas möjligheter för industriell symbios av bygget av Ostlänken?,https://exjobb.liu.se/en-US/details/?id=b0a3ef71-7a84-ef11-a81c-002248a41503,Industriell miljöteknik/IEI,Energi- och miljöteknik,2025-01-15,1/15/2025
Cross-Border Competitiveness in the EU ETS 2: A Case Study of the Transport Sector in Border Regions,https://exjobb.liu.se/en-US/details/?id=b6199359-f67b-ef11-a81c-000d3ad95117,IEI - Linköping University,Energi- och miljöteknik,2025-01-05,1/5/2025
Multi-Modal Learning for Detecting Cargo Loading and Unloading Events,https://exjobb.liu.se/en-US/details/?id=59f0c13e-6182-ef11-a81c-000d3ab2d51f,Volvo Group Trucks Technology,Elektroteknik,2025-01-01,1/1/2025
Multi-Vehicle Detection and Tracking Using Sound Modality,https://exjobb.liu.se/en-US/details/?id=eca21699-6182-ef11-a81c-000d3ab2d51f,Volvo Group Trucks Technology,Elektroteknik,2025-01-01,1/1/2025
Using Generative AI to visualize states in AI Planning,https://exjobb.liu.se/en-US/details/?id=0d61dca9-accc-ee11-a81c-000d3ab758d4,IDA - Artificial Intelligence & Integrated Computer Systems,Datavetenskap,2025-01-01,1/1/2025
Master Thesis - Information Theoretic Security Proofs and Methods,https://exjobb.liu.se/en-US/details/?id=bbc9cfbb-d05a-ee11-a81c-000d3ad77b5b,LiU ISY ICG,Tillämpad matematik,2025-01-01,1/1/2025
Master Thesis - Analysis of Physical Unclonable Functions,https://exjobb.liu.se/en-US/details/?id=d4cf92cd-d15a-ee11-a81c-000d3ad77b5b,LiU ISY ICG,Elektroteknik,2025-01-01,1/1/2025
